ID,English,Kashmiri
3407,Our flight to Delhi is in the evening.,دِلہِ گژھنہٕ خٲطرٕ سون جہاز چُھ شامس۔
3408,He was in flight when we reached there.,ییٚلہِ أسۍ تور وٲتۍ سُہ اوس لارِ منٛز۔
3410,He flunged the letter into the fire.,تٔمۍ لگٲو چِھٹھۍ نارس منٛز۔
3411,She flung the papers out from the room.,تٔمۍ لگٲوۍ کاغزات کُٹھِ نٮ۪بر۔
3412,They were flinging rude remarks on each other.,تِم ٲسۍ اکھ أکِس شرارتہٕ ہوٚت بُرٕ کتھٕ ونان۔
3413,The students had a wonderful fling before exams.,طٲلبہِ عٔلِمو تُل اِمتِحانہٕ برٛونٛہہ جان لُطُف۔
3414,She has been having a fling with her boss.,تٔمِس چھِ پنٛنِس صحبس سۭتۍ ناجٲیِز تعلُقات۔
3415,The dead body was floating on the river.,لاش ٲس دٔریاوس منٛز ییٖران۔
3416,She kept on floating in the river.,سۄ روٗز دٔریاوس منٛز سرٛانٛٹھ کران۔
3417,He floated an idea for starting the bussiness.,تٔمۍ دیُت کارٕ بار شُروٗع کرنُک مشورٕ۔
3418,This company has floated its first brochure.,ییٚمہِ کمپٔنی چُھ پنُن گۄڈنیُک رِسالہٕ جٲری کوٚرمُت۔
3419,They decided to float 60 per cent of the shares.,تِمو کوٚر 60 فیصد شِیر کٕننُک فٲصلہ۔
3420,The smells of delicious foods floated all around him.,مزٕ دار کھٮ۪نن ہِنٛز خۄشبو پٔھلییہِ تٔمۍ سٕنٛدِ ہر طرفہٕ۔
3421,Strange thoughts float into my mind when I try to sleep.,ییٚلہِ بہٕ شۄنٛگنٕچ کوٗشِش چُھس کران، میٛٲنِس ذہنس منٛز چھِ عٔجیٖب خیال یِوان۔
3422,The people stuck in the flooded areas are in need of help.,سٔہلاب زد علاقن منٛز پٔھسِتھ لُکن چھِ اِمدادٕچ ضٔروٗرت۔
3423,A number of states all over the country have been flooded.,پوٗرٕ مُلکس منٛز چُھ واریاہن رِیاستن منٛز سٔہلاب آمُت۔
3424,The markets are flooded with many imported goods.,بازر چُھ واریاہ غٲر ملکی سامان سۭتۍ بٔرِتھ۔
3425,The shop is completely flooded.,وانس چُھ پوٗرٕ پٲٹھۍ آب آمُت۔
3426,The river has flooded the meadows.,دٔریاون چُھ گاسہٕ چرایہٕ سٔہلاب اوٚنمُت۔
3427,The flood destroyed many houses.,سٕہلابن کٔرۍ واریاہ مکان تباہ۔
3429,A large number of fish were found on sea floor.,سمنٛدر کِس ژٔکِس پٮ۪ٹھ آسہٕ واریاہ گاڈٕ لبنہٕ آمژٕ۔
3431,He took her to the dance floor.,تٔمۍ نِیہٕ سۄ نژنہٕ چہِ جایہِ پٮ۪ٹھ۔
3432,He was floored by the announcement.,تمہِ اعلان سۭتۍ گوٚو سُہ حٲران۔
3433,He floored him by his argument.,تٔمۍ پوو سُہ پنٛنہِ بحژٕ سۭتۍ۔
3435,The carpenters were flooring the room.,چھان ٲسۍ کُٹِھس فرٕش بناوان۔
3437,Cutlets are floured before frying.,ٹِکی چُھ یِوان تلنہٕ برٛونٛہہ اوٹ متھنہٕ۔
3438,All the rivers flow into the sea.,تمام دٔریاو چھِ سمنٛدرس منٛز وسان۔
3439,"With fewer cars on the roads, the traffic is flowing smoothly.",سڑکہِ پٮ۪ٹھ کم گاڑِ آسنہٕ کِنۍ چُھ ٹرٛیٚفِک آسٲنی سان پکان۔
3440,Money flowed without restraints for his party.,تٔمۍ سٕنٛزِ جمٲعژ خٲطرٕ آیہٕ رۄپیہٕ آبٕکۍ پٲٹھۍ۔
3441,Priests usually wear flowing robes.,پادٕرۍ چھِ اکثر کٔھلۍ چۄغہٕ لاگان۔
3442,Flowing water is usually pure.,چلوُن آب چُھ اکثر شوٚد آسان۔
3443,The flow of blood from the wound stopped.,زخمہٕ منٛزٕ خونُک نیرُن رُکیٛوو۔
3445,He speaks in a flow.,سُہ چُھ روٲنی کتھٕ کران۔
3446,These flowers have pleasant fragrance.,یِمن پوشن چھےٚ مُشکٕنۍ ادفر۔
3450,The flue emits steam during the cooking.,رنٛنہٕ وِزِ چھےٚ بُکھٲرۍ بہہ نٮ۪بر کڑان۔
3451,You need to consume lot of fluid.,تۄہہِ چھو واریاہ ٲبی چیز چٮ۪نٕچ ضرورت۔
3452,Milk is a nurishing fluid feed.,دۄدھ چُھ اکھ ٲبی طاقتی غذا۔
3454,Our plans are in a state of flux at the moment.,سٲنۍ منصوٗبہٕ چھِ ونۍ کیٚن مُسلسل تبدیلی ہِنٛدِس حالتس منٛز۔
3456,Birds fly in the air.,جاناوار چھِ ہَوہس منٛز وٕڑان۔
3457,Rumors are flying that schools might close soon.,افوا چھےٚ پٔھلان زِ مدرسہٕ ما گژھن جلدی بنٛد۔
3458,How long does it take to fly from Delhi to Mumbai?,دِلہِ پٮ۪ٹھٕ بمبیہِ تانۍ ہوٲیی سفر کرنس کوٗتاہ وق چُھ لگان؟
3459,We hope that our new bussiness will fly.,اسہِ چھےٚ وۄمید زِ سون نوٚو کارٕبار گژھِ کامیاب۔
3460,He flew a small plane to Cuba.,تٔمۍ چلوو کیوباہس تانۍ اکھ لۄکُٹ ہوٲیی جہاز۔
3463,The aeroplane is flying Indian flag.,جہاز چُھ ہِنٛدوستٲنۍ جنٛڈٕ لہراوان۔
3464,There are many flying insects in this place.,یتھ جایہِ چھِ واریاہ وٕڑوٕنۍ کیٚمۍ۔
3466,We see foam on water with a lot of soap in it.,اسہِ وُچھ آبس پٮ۪ٹھ پوٚس یتھ منٛز سٮ۪ٹھا صابن ٲس۔
3467,We arranged foam mattresses for them.,اسہِ کوٚر تِہنٛدِ خٲطرٕ فوم کہِ مٹرَسُک اِنتظام۔
3468,This soap foams a lot.,یتھ صابنہِ چُھ واریاہ پوٚس کھسان۔
3469,These days environment has become a focus of attention.,ازکل چُھ ماحول تَوجُک مرکز بنیومُت۔
3470,We should focus on our bussiness.,اسہِ پزِ پنٛنِس کارٕبارس پٮ۪ٹھ توجہ دیُن۔
3471,He is unable to focus in dimlight.,سُھ چُھ نہٕ ہٮ۪کان کم گاشس منٛز صاف پٲٹھۍ وٕچِھتھ۔
3472,The cars collided in the fog.,وٕنلہِ منٛز آو گاڑٮ۪ن اکھ أکِس سۭتۍ ٹاس۔
3473,The glass panes were completely fogged.,دارٮ۪ن ہِنٛدیٚن شیٖشن اوس پوٗرٕ پٲٹھۍ بہہ کھوٚتمُت۔
3474,I was fogged by her answer.,بہٕ گوس تٔمۍ سٕنٛدِ جوابہٕ سۭتۍ دُلہٕ مُلس منٛز۔
3475,Aluminium foil keeps food fresh.,مِسہِ ورق چھِ کھٮ۪ن تازٕ تھوان۔
3476,He foiled the attempts made by Aslam to get the job.,تٔمۍ کٔر اسلم سٕنزِ نوکری حٲصل کرنٕچہِ کوٗشِشن منٛز روکاوٹ پٲدٕ۔
3477,They make foils used in the competition.,تِم چھِ مُقابلس منٛز اِستعمال گژھن واجنہِ زٲوجہِ شمشیر بناوان۔
3478,Fold the clothes properly before putting them in the cupboard.,المارِ منٛز تھاونہٕ بروٚنٛہہ گژھِ پلون اصٕل پٲٹھۍ تہہ کرُن۔
3479,Please fold the chairs in the garden.,مہربٲنی کٔرِتھ وٹ باغس منٛز کُرسِیہٕ۔
3480,Many factories were folding each week.,پرٛٮ۪تھ ہفتہٕ ٲسۍ واریاہ کاخانہٕ بنٛد گژھان۔
3481,The folds on this paper are not proper.,ییٚمہِ کاغزٕ چہِ پٕھچہِ چھےٚ نہٕ ٹھیٖک۔
3482,The highway has too many folds.,شاہراہس چھِ واریاہ موڑ۔
3483,He pushed the sheep into the fold.,تِمۍ دِیُت کَٹن گانس منٛز دَکہٕ۔
3484,Many members decided to leave the fold.,واریاہو نفرو کوٚر جمٲعژ منٛزٕ نیرنُک فٲصلہٕ۔
3485,He earned tenfold profit in this investment.,اتھ سرمایہِ کٲری منٛز زیوٗن تمۍ دہ گنہٕ نفع۔
3487,The folks in my society are very friendly.,میانہِ سماجِکۍ لُکھ چھِ واریاہ رلوٕنۍ میلوٕنۍ۔
3488,Every culture has folk tales.,پرٮ۪تھ کنہِ تہزیٖبس منٛز چھےٚ لُکہٕ کتھٕ آسان۔
3489,Ordinary folk can't afford cars like that.,عام نفر ہیٚکہِ نہٕ یِژھٕ گاڑِ أنِتھ۔
3490,I translated some folklore from vernacular into english.,مےٚ کوٚر کیٚنٛژن لُکہٕ ادبن ہُنٛد مقامی زبٲنۍ پٮ۪ٹھٕ انگرۍ منز ترجمہٕ۔
3491,I will follow the instructions.,بہٕ پکہٕ ہِدایتن مُطٲبِق۔
3492,You will have to follow me to reach the destination.,مُقامس تانۍ واتنہٕ خٲطرٕ پیٚیی ژےٚ مےٚ سۭتۍ یُن۔
3493,He followed her upto her house.,سُہ لاریو تس گرٕ تانۍ پتہٕ پتہٕ۔
3494,We have to follow the rules of the company.,اسہِ چھِ کمپنی ہنٛدۍ قٲعِدٕ مانٕنۍ۔
3495,She wants to follow medical profession.,سۄ چھےٚ طِبی پیشہٕ اِختیار کرُن یژھان۔
3496,You should try to follow the instructions of the teacher.,ژےٚ پزی وۄستاد سٕنٛزِ ہدایتن پٮ۪ٹھ پکنٕچ کوٗشِش کرٕنۍ۔
3497,Other problems may follow.,باقٕے مسٲیِل ہٮ۪کن امہِ پتہٕ یِتھ۔
3498,There are millions of people who follow football.,لچھٕ بٔدۍ لُکھ چھِ فُٹ بالہِ منٛز دِلچسپی تھاوان۔
3500,It follows that she will not withdraw the case.,امیُک مطلب چُھ نیران زِ سۄ نِیہِ نہٕ مُقدِم واپس۔
3501,He is a follower of a pious saint.,سُہ چُھ ٲکِس متعبرک فقیر سُنٛد مُریٖد۔
3503,Consider the following examples.,برٛونٛہہ کنہِ دِنہٕ آمژن مِثالن پٮ۪ٹھ کٔرو غور۔
3504,The saint has a large following in our village.,فقیرس چھِ گامس منٛز واریاہ مانن وٲلۍ لُکھ۔
3505,He has always tried to follow his father.,تٔمۍ چھِےٚ ہمیشہٕ پنٛنِس مٲلۍ سٕنٛدِس نقشہٕ قدمس پیٚٹھ پکنٕچ کوٗشِش کٔرمٕژ۔
3506,The conditions in the city worsened following his arrest.,تٔمۍ سٕنٛزِ گرفتٲری پتہٕ گٔیہٕ شہرس منٛز حالات خراب۔
3508,We cannot survive without food.,ٲسۍ ہیٚکو نہٕ غٕزا ورٲے زِنٛدٕ روٗزِتھ۔
3509,He is looked upon as fool by everyone.,تٔمِس چھِ سٲری بیقٕل نظرِ وٕچھان۔
3510,I was fooled by my friends on my birthday.,بہٕ بیقلووہوس زا دۄہس پیٚٹھ پنٛنیو دوستو۔
3511,It was foolish of her to go alone at night.,رات کِیُتھ کُنی زنہِ نیرُن ٲس تٔمۍ سٕنٛزِ بیقلٲزی۔
3513,She has thin feet.,تٔمس چھِ زٲوِل کھۄر۔
3514,My left foot was injured in the accident.,حٲدِسس منٛز گوٚو مےٚ کھووُر کھۄر زخمی۔
3515,They erected a five foot wall in front of their house.,تِمو کھول پننِس مکانس بروٛنٹھٕ کنِہ پانٛژ فُٹہٕ دیوار۔
3516,The foot soldiers entered the building.,پیدل پکن وٲلۍ سِپاہ ژایہِ عمارتہِ منٛز۔
3517,They camped at the foot of the hill.,تِمو لوگ بالہٕ کِس دامنس پٮ۪ٹھ ڈیرٕ۔
3518,I love to watch football match.,مےٚ چُھ فُٹ بال میچ وُچُھن خۄش کران۔
3519,Pedestrians should always walk on the footpath.,پیدل پکن والٮ۪ن پزِ ہمیشہِ وتہٕ پٔدِس پٮ۪ٹھ پکُن۔
3520,I heard the sound of footsteps in the next room.,مےٚ بوٗز بیٚیِس کُٹھِس منز قدمن ہِنز آواز۔
3521,I can do this for her.,بہٕ ہٮ۪کہٕ یہِ تٔمۍ سٕندِ خٲطرٕ کٔرِتھ۔
3522,I bought a book for Sonu.,مےٚ أنۍ سونو ہس خٲطرٕ اکھ کِتاب۔
3524,He talked on and on for an hour on the telephone.,سُہ روٗد فونس پیٚٹھ گٲنٛٹس تام کتھٕ کران۔
3525,Everybody has a desire for luxury.,پرٛٮ۪تھ کٲنسہِ چھےٚ عٲشن ہِنٛز خوٲہِش آسان۔
3526,We haven`t seen him for years.,اسہِ چُھ نہٕ سُہ ؤری وادو پٮ۪ٹھٕ وُچھمُت۔
3527,We had cooked potatoes for lunch.,اسہِ ٲسۍ کٲجِس خٲطرٕ ٲلوٕ رٔنۍمٕتۍ۔
3528,He gave me this book for Rs 300.,تٔمۍ دِِژ مےٚ یہِ کِتاب ترٛیٚن ہتن رۄپین منٛز۔
3529,He walked for five miles.,سُہ پوٚک پانژٛن میلن تانۍ پیدل۔
3530,She was very angry with her friend for she forgot to wish her on new year.,سۄ ٲس پنٛنہِ ویٚسہِ واریاہ ناراض تِکیازِ تٔمِس اوس تس نوِ ؤرِیِچ مبارکبٲدی دِنۍ مٔشِد گٔمٕژ۔
3531,The law forbids the sale of cigarettes to young people.,قونوٗنن چُھ جوان نفرن سِگریٹ کٕننٛس ٹھاک کران۔
3532,"If you want to go, I can't forbid you.",اگر ژٕ گژُھن چُھکھ یژھان بہٕ ہٮ۪کتھ نہٕ ژٕ رُکٲوِتھ۔
3533,Forbidden fruit is sweet.,منٛع کرنہٕ آمُت مٮ۪وٕ چُھ موٚدُر آسان۔
3534,They used force to open the jammed door.,تِمو لڑوو بند دروازٕ کھولنہٕ خٲطرٕ سخٕت زور۔
3535,He changed our opinion through the force of his ideas.,تٔمۍ بدلٲو پنٛنین خیالن ہِنٛدِ تٲثیر سۭتۍ سٲنۍ راے۔
3536,The Air force was trained to fly new fighter planes.,ہوٲیی فوجس آیہِ نٔوۍ جنگی جہاز چلاونٕچ تربِیت دِنہٕ۔
3537,Women turned up in large force.,زنانہٕ گٔیہٕ وارہاہ تعدادس متٛر جمع۔
3538,The new law will come into force next month.,نوٚو قونوٗن گژھِ نیہِ ریتہٕ نٲفِذ۔
3539,She forced him to take up a job in the city.,تمہِ کوٚر سُہ شہرس منٛز نوکری کرنس پٮ۪ٹھ مجبوٗر۔
3540,They were forcing her head into the water.,تِم ٲسۍ تٔمۍ سٕنٛدِس کَلس زورٕ آبس منٛز بران۔
3541,He tried to force the window open.,تٔمۍ کٔر دٲر پٕھٹراونٕچ کوٗشِش۔
3544,We drove through the ford to reach the village.,گام واتنہٕ خٲطر تٔرۍ أسۍ نالہٕ کِنۍ۔
3545,Many people ford the river in boat.,وارہاہ لوٗکھ چھِ ناوِ منٛز دریاوس اپور تران۔
3547,He came to the fore to address the audience.,سُہ آو حٲضرینن خطاب کرنہٕ خٲطرٕ برٛونہہ کُن۔
3548,She has pimples on her forehead.,تٔمِس چھِ ڈٮ۪کس پیٚٹھ دانہٕ۔
3549,She learns foreign languages during the vacations.,سۄ چھےٚ چُھٹِین منٛز غٲر ملکی زبانہٕ ہیٚچھان۔
3550,Wild animals live in forests.,جنگلی جانور چھِ وَنن منٛز روزان۔
3551,They remained friends forever.,تٔمۍ روٗدۍ ہمیشہٕ دوست۔
3552,I forgot to bring your book.,مےٚ گٔیہِ چٲنۍ کِتاب انٕنۍ مٔشِتھ۔
3553,My mother forgave me for my mistakes.,میٛانہِ ماجہِ دِژ مےٚ غلطِین خٲطرٕ معٲفی۔
3554,He asked for forgiveness.,تٔمۍ مٔنج معٲفی۔
3555,They eat with knife and fork.,تِم چھِ چُھرِ تہٕ کانٛٹہٕ سٕتۍ کھٮ۪وان۔
3556,This road forks across the bridge.,یہِ سڑک چھےٚ کٔدلہٕ اپارِ شاخن منٛز تقسیٖم گژھان۔
3557,The lawn is in the form of a square.,باغ چُھ ژُکوٗنٛجل شکلہِ منٛز۔
3559,They received benefit in the form of a tax reduction.,تِمن میلیو ٹیٚکسس منٛز رِعایت کِس صوٗرتس منٛز فٲیدٕ۔
3560,I got an application form for you.,مےٚ اوٚن چانہِ خٲطرٕ اکھ ایٚپلِکیشن فارم۔
3562,Children formed a circle and sang songs.,شُریو بنوو اکھ دٲیرٕ تہٕ گیٚوِکھ بٲتھ۔
3564,All were requested to come in formal dress.,سارنٕے آیہِ رسمی پۄشاک لٲگِتھ یِنٕچ گُزٲرِش کرنہٕ۔
3565,He was formally invited to the party.,تٔمِس ٲس رسمی طور سالس منز شِرکت کرنٕچ دعوت دِنہٕ آمٕژ۔
3567,All his former friends turned against him.,تٔمۍ سٕنٛدۍ تمام پرٛٲنۍ دوست گیہِ تٔمِس خلاف۔
3568,The former Vice Chancellor visited the university.,سٲبقہٕ وایس چانسلرن کوٚر یوٗنورسٹی ہُنٛد دورٕ۔
3569,His former surgery was more successful.,تٔمۍ سٕنٛز گۄڈنِچ سرجری روٗز زیادٕ کامیاب۔
3570,The former rulers of the state designed certain policies.,ریاست کٮ۪و سٲبقہٕ حکمرانو آسہٕ کینٛہہ حِکمت عملِیہِ بناومژٕ۔
3571,The former rule continues to be in practise.,برٛونٛہِم قونوٗن چُھ وٕنہِ تہِ عملہِ منٛز۔
3572,"Formerly, females were not emancipated financially.",گۄڈٕ آسہٕ نہٕ زنانہٕ مٲلی طور خۄدمختار آسان۔
3573,He remained a formidable opponent.,سُہ روٗد اکھ خطرناک مُخٲلف۔
3575,There is no easy formula for success.,کامیٲبی پراونُک چُھ نہٕ کانٛہہ سہل نُسخہٕ۔
3576,He paused to formulate his reply.,پنُن جواب واضِح کرنہٕ خٲطرٕ ٹٔھریوو سُہ۔
3577,They are engaged in the formulation of a new policy.,تِم چھِ أکِس نوِ حِکمت عملی ہِنٛزِ تشکیٖلہِ سۭتۍ آوٕرۍ۔
3578,The forts have become places of tourist attraction.,قلعہٕ چھِ سیاحن ہِندِ توجٕکۍ مرکز بنیمٕتۍ۔
3579,He came forth to address the audience.,سُہ آو حٲضرینن خطاب کرنہٕ خٲطرٕ برٛونہہ کُن۔
3580,He is really very fortunate to secure admission in the college.,سُہ چُُھ پٔزۍ پٲٹھۍ خۄش قٕسمت زِ تس میوٗل کالجس منز دٲخلہٕ۔
3582,May good fortune find you this year.,یُہُس میٖلنو تۄہہِ خۄش قسمتی۔
3583,Forty people were present at the party.,دعوتس منز ٲسۍ ژتجی لُکھ موجود۔
3585,Lean forward to let the light come in.,برٛونٛہہ کُن نیٚمۍ یُتھ گاش انٛدر اژِ۔
3587,She fostered the orphan.,تمہِ پول یتیم۔
3588,Her father founded the hospital in 1958.,تٔمۍ سٕندۍ مٲلۍ ترٛٲوۍ 1958 منٛز شفاخانٕچ سنٛگہِ بُنیاد۔
3589,The foundation of the building was laid way back in 1997.,عِمارتہِ ہِنز سنٛگہِ بُنیاد ٲس 1997 تس منٛز ترٛاونہٕ آمٕژ۔
3590,The foundation of a library in the town helped the students.,قصبے میں ایک لائبریری کی بنیاد رکھنے سے طلبہ کی مدد ہوئی
3591,Many foundations agreed to sponsor my research.,واریاہ اِدارٕ گٔیہِ میٲنِس تحقیٖقس اِمداد دِنس پٮ۪ٹھ رٲضۍ۔
3592,There was a beautiful fountain in the middle of the garden.,باغس منٛز باگ اوس اکھ لوٗبوُن فنٛوارٕ۔
3593,I saw four people in the corridor.,مےٚ وٕچھۍ ؤٹِس منٛز ژور نفر۔
3594,She is only four.,سۄ چھےٚ صِرِف ژور ؤرِش۔
3595,I saw four men coming towards our gate.,مےٚ وٕچھۍ سٲنِس گیٹس کُن ژور نفر یوان۔
3596,Four is my lucky number.,ژور چُھ میانہِ خٲطرٕ پھروٗژ عدد۔
3597,She is four years old.,سۄ چھےٚ ژور ؤرِش۔
3598,I have got four chocolates.,مےٚ چھِ ژور چاکلیٹ۔
3599,It took him fourteen days to complete the work.,مےٚ لگٔۍ کٲم سپداوس ژۄداہ دۄہ۔
3600,She is just fourteen.,سۄ چھےٚ صِرِف ژۄداہ ؤرِش۔
3601,Fourteen days are enough to finish this work.,یہِ کٲم کۄکلاونہٕ خٲطرٕ چھِ ژۄداہ دۄہ سیٚٹھا۔
3602,Children under fourteen should be accompanied by a parent.,ژۄداہ ؤری کم وٲنٛسہِ ہِنٛدیٚن شُریٚن گژھِ مول موج سۭتۍ آسُن۔
3603,Fourteen people were killed in the blast.,دھماکس منٛز آیہِ ژۄداہ نفر مارنہٕ۔
3604,This line is repeated fourteen times in the song.,یہ سطٕر چھےٚ بٲتس منٛز ژۄداہہِ لٹہِ دۄہراونہٕ آمٕژ۔
3605,He lives in the fourth house from here.,سُہ چُھ یٚیتہِ پٮ۪ٹھٕ ژوٗرمِس مکانس منٛز روزان۔
3608,He is a fox.,سُُہ چُھ اکھ دوکھٕ باز۔
3609,He foxes every body with his behaviour.,سُہ چُھ پنٛنہِ سلوٗک سۭتۍ پٛرٮ۪تھ کٲنٛسہِ پریشان کران۔
3610,The bus left in a fraction of a second.,گٲڈۍ درایہِ سیٚکنٛڈ کِس ژِہِس منٛز۔
3611,The cost is only a fraction of his salary.,قۭمت چُھ تٔمۍ سٕنٛدِ تنخواہُک اکھ لۄکُٹ حِصہٕ۔
3612,We can break it into equal fractions.,ٲسۍ ہٮ۪کو یہِ برابر حِصن منٛز تقسیم کٔرِتھ۔
3613,The door frames should be made of wood.,دروازن ہِنٛدۍ چوکاٹ گژھن لٔکرِ ہِنٛدۍ آسٕنۍ۔
3615,I broke the frame of my spectacles.,مےٚ پُھٹروو پننہِ شیٖشُک فرٛیم۔
3616,We have to follow the time frame strictly.,اسہِ پَزِ وقتک بڑٕ پابند روزن۔
3617,These door frames are made of teak wood.,دروازن ہٕنٛدۍ یِم چوکاٹ چھِ ٹیٖٖککۍ بناونہٕ آمٕتۍ ۔
3619,"After the war, a convention was set up to frame a constitution.",جنٛگہٕ پتہٕ آیہِ ٲییٖن بناونہٕ خٲطرٕ اکھ جماعت قٲیِم کرنہٕ۔
3620,I need to find out who tried to frame me.,مےٚ چھےٚ یہِ معلوم کرنٕچ ضروٗرت زِ مےٚ کٔمۍ اوس غلط اِلزام لوگمُت۔
3621,He is very frank.,سُۍ چُھ واریاہ مِلن سار۔
3622,You can talk frankly to me.,ژٕ ہیٚککھ مےٚ سۭتۍ صاف پٲٹھۍ کتھ کٔرِتھ۔
3623,They franked all the letters.,تمِو لاج سارنٕے چِٹھٮ۪ن ٹِکٹہٕ۔
3624,They were freed from jail.,تِم آیہِ قٲد خانہٕ منٛزٕ آزاد کرنہٕ۔
3625,We are the citizens of a free nation.,ٲسۍ چھِ اکہِ آزاد قومٕکۍ باشندٕ۔
3626,The other end of the rope is left free.,رزِ ہُنٛد بیاکھ انٛد چُھ ڈیوٚل ترٛاونہٕ آمُت۔
3627,Thousands of war prisoners were set free.,ساسہٕ بٔدۍ جنگی قٲدۍ آیہِ یلہٕ ترٛاونہٕ۔
3629,The bathroom is free now.,سرٛانہٕ کُٹھ چھِ وۄنۍ خٲلی۔
3632,It took the rescuers two hours to free the people from the debris.,بچاون والیٚن لٔگۍ ملبہٕ تلہٕ لُکھ کڑنس زٕ گٲنٛٹہٕ۔
3635,You can cast your vote freely.,ژٕ ہٮ۪کَکھ پنُن ووٹ آزٲدی سان ترٛٲوِتھ۔
3636,"After 5 years in prison, he was given his freedom.",جیلس منز پانژن ؤرین روزنہٕ پتہٕ آیہِ تس آزٲدی دِنہٕ۔
3637,They yearned for freedom.,تِم ٲسۍ خۄد مختاری خٲطرٕ تماہ کران۔
3638,Her son got freedom from fear.,تٔمۍ سٕندِس نیٚچوِس میلیوو خوفہٕ نِش مۄکجار۔
3640,Nowadays drugs are freely available in every corner of the city.,ازکل چُھ منشیات شہر چہِ پرٮ۪تھ جایہِ سہولیت سان دستیاب۔
3641,People travel freely across the Nepal border.,لوٗکھ چھِ نیپال کِس سرحدس پٮ۪ٹھ آرام سان سفر کران۔
3642,She freely admits that she has made many mistakes earlier.,تمہِ کوٚر کُھلہٕ دِلہٕ اقرار زِ تمہِ چھِ پتھ کالہِ واریاہ غلطِیہِ کرِمژٕ۔
3643,You can visit me freely.,ژٕ ہٮ۪کَکھ خوشی سان مےٚ نِش یِتھ۔
3644,These fruits have frozen.,یِمن مٮ۪ون چُھ شیٖن گوٚمُت۔
3645,Indian railways have services for both passengers and freight.,ہندوستٲنی ریلہِ چھےٚ مُسافِرن تہٕ مال دۄشوٕنی خٲطرٕ خٕدمات۔
3647,Road accidents have increased in frequency in recent years.,پٔتۍ مٮ۪ن کیٚنہن ؤرۍین منٛز چھِ سڑک حٲدثن ہُند تعداد واریاہ ہُریوومُت۔
3648,His frequent doubts annoyed everyone.,تٔمۍ سٕنٛٛدیو اکثر شَکو ٲسۍ سٲری پریشان کٔرۍمٕتۍ۔
3649,There are no frequent bus services from here to Koti.,ییٚتہِ پٮ۪ٹھٕ کۄٹی تانۍ چھےٚ نہٕ زیادٕ بس خٕدمات۔
3650,He frequents to her place every now and then.,سُہ چُھ وِزِ وِزِ تس نِش گژھان۔
3653,Have only fresh bread for breakfast.,صُبحٕکِس کھٮ۪نس منٛز گژھِ صِرف تازٕ ژوٚٹ کھیٚنۍ۔
3654,These vegetables are fresh.,یِم سبزِیہِ چھےٚ سر سبٕز۔
3655,Friction between two stones invented fire.,دۄن کَنٮ۪ن درمیان گٔکھرِ سۭتۍ گوٚو نار ایجاد۔
3656,Friction arose between the two brothers over the ancestral property.,خٲنٛدٲنۍ جٲدادس پٮ۪ٹھ گوٚو دۄن باین درمیان تضاد۔
3657,My friend visits me often.,میون دوست چُھ مےٚ اکثر سمکھٕنہِ یِوان۔
3660,His anger frightened me.,تٔمۍ سٕنٛدۍ شَرارتن کھوژنووُس بہٕ۔
3661,Their house is located on the fringe of the forest.,تِمن ہُنٛد مکان چُھ وَنہٕ کِس انٛدس پٮ۪ٹھ واقع۔
3662,She looks beautiful with a fringe.,سۄ ٲس کونٛکلہٕ سۭتۍ لوٗبوٕنۍ باسان۔
3664,She is different from her sister.,سۄ چھےٚ پنٛنہِ بیٚنہِ نِش مُختلِف۔
3665,The worker comes home from the factory.,مزدوٗر چُھ کارخانہٕ پٮ۪ٹھٕ گرٕ یِوان۔
3666,I got a letter from my brother.,مےٚ وٲژ پنٛنِس بٲے سٕندِ طرفہٕ چِٹھۍ۔
3667,The front of the building needs whitewash.,عمارتہِ ہِنٛدِس برٛونٹھمِس طرفس چھےٚ سفیٖدی کرنٕچ ضروٗرت۔
3669,The frontier states are always in the danger of foreign invasions.,سرحدی رِیاستن چُھ ہمیشہٕ بیٖروٗنی حملن ہُنٛد خطرٕ آسان۔
3670,Skating is done on frozen ice.,سکیٹِنٛگ چھےٚ لٔگمٕتِس شیٖنس پٮ۪ٹھ کرنہٕ یوان۔
3671,Fruits are good for health.,مٮ۪وٕ چھِ صحتہٕ خٲطرٕ جان۔
3672,Almond is a fruit.,بادام چُھ اکھ میٚوٕ۔
3673,We must nurture the fruits of the earth.,اسہِ پزن زمیٖن چہِ نعمتہٕ رچھِنہِ۔
3674,She enjoyed the fruits of her labour.,تٔمۍ تُل پنٛنہِ محنتہٕ کہِ پھلُک لُطُف۔
3675,The mango trees have fruited well this year.,آمبہٕ کُلٮ۪ن چُھ یُہُس اصٕل مٮ۪وٕ درٛامُت۔
3677,We must fuel up our car before a long trip.,اسہِ پزِ دوٗر سفرس نیرنہٕ برٛونٛہہ پنٛنہِ گاڑِ تیٖل تراوُن۔
3678,He fulfilled his promise.,تٔمۍ کوٚر پنُن وعدٕ پوٗرٕ۔
3679,The student fulfilled the conditions of entry to a college.,طٲلبہِ علمو کرِ کالجس منز دٲخلٕچ شرٲیِط مکمل۔
3680,The lake is full during rainy season.,روٗدٕ کِس موسمس منز چُھ جیٖل بٔرِتھ آسان۔
3683,The woman gave full information of the incident.,زنانہِ دِژ واقعٕچ پوٗرٕ زانکٲری۔
3684,Looking after the children is a full-time job.,بچہٕ رچٕھنۍ چھےٚ پوٗرٕ دۄہس پٮ۪ٹھ کٲم۔
